"","sID","npID","nzsegment.x","Deposited.sediment.Class.x","productive_class.x","Suspended.Sediment.Class.x","min_year","N.values","N.Leftcensored","N.Rightcensored","DL","AL","Median","Mean","Q95","G540","G260","AnnMax","Median_Summer","p80","p83","p92","CI_G260_lower","CI_G260_upper","CI_G540_lower","CI_G540_upper","CI_Median_lower","CI_Median_upper","CI_Median_Summer_lower","CI_Median_Summer_upper","CI_95_lower","CI_95_upper","CI_80_lower","CI_80_upper","CI_83_lower","CI_83_upper","CI_92_lower","CI_92_upper","AnnMax_lower","AnnMax_upper","ImputedLower","ImputedUpper","nmonth","nBimonth","nqtr","No.years","FilterOK","NZReachID","nzsegment.y","MatchForPointSources","Overall","Deposited.sediment.Class.y","Suspended.Sediment.Class.y","productive_class.y","FlowSite","Site.Order.in.catchment.(Report)","NZTM.X","NZTM.Y","Status","CatName","Freshwater.Management.Unit.FMU","Water.management.subzone.One.Plan","Site.Type","Attr","NOF_Grade","yearz"
"1488","Oroua at Almadale","ECOLI",7232687,"4","N",1,2017,70,0,1,NA,9700,127,440.56840946244,1296,14.2857142857143,28.5714285714286,7270,170,400.5,465,836,20.6178695906802,38.1198021537841,8.73487145399837,22.4945814534421,109.49665,173.50335,120.27655,197.2345,741.89556,5459.60431,230.09201,575.32829,305.98006,779.0282,539.22213,2305.23735,7270,7270,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7035276,7232687,7232687,"CW_Hill_SS","4",1,"N","Oroua at Almadale Slackline","Not Reported",1826347,5549637,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI_PC.p95","Poor","2015 - 2019"
"1489","Oroua at Awahuri Bridge","ECOLI",7236108,"2","Y",1,2017,69,0,1,NA,9700,150,971.554361978926,6429.66255,18.8405797101449,37.6811594202899,19900,175,444.4,593.03,987.4,28.7216123925739,47.5703182154367,12.3301210569675,27.7024093044713,124.98531,212.62643,122,271.20869,786.74135,13177.50429,306.52745,764.34692,339.83846,795.20255,742.06006,9339.60616,19900,19900,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7037684,7236108,7236108,NA,"2",1,"Y","Oroua at Kawa Wool","63",1814385,5538597,"RepSite","Manawatu","Manawatu","Middle Oroua (Mana_12b)","a","NOF.ECOLI.G260","D","2015 - 2019"
"1490","Oroua at Awahuri Bridge","ECOLI",7236108,"2","Y",1,2017,69,0,1,NA,9700,150,971.554361978926,6429.66255,18.8405797101449,37.6811594202899,19900,175,444.4,593.03,987.4,28.7216123925739,47.5703182154367,12.3301210569675,27.7024093044713,124.98531,212.62643,122,271.20869,786.74135,13177.50429,306.52745,764.34692,339.83846,795.20255,742.06006,9339.60616,19900,19900,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7037684,7236108,7236108,NA,"2",1,"Y","Oroua at Kawa Wool","63",1814385,5538597,"RepSite","Manawatu","Manawatu","Middle Oroua (Mana_12b)","a","NOF.ECOLI.G540","C","2015 - 2019"
"1491","Oroua at Awahuri Bridge","ECOLI",7236108,"2","Y",1,2017,69,0,1,NA,9700,150,971.554361978926,6429.66255,18.8405797101449,37.6811594202899,19900,175,444.4,593.03,987.4,28.7216123925739,47.5703182154367,12.3301210569675,27.7024093044713,124.98531,212.62643,122,271.20869,786.74135,13177.50429,306.52745,764.34692,339.83846,795.20255,742.06006,9339.60616,19900,19900,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7037684,7236108,7236108,NA,"2",1,"Y","Oroua at Kawa Wool","63",1814385,5538597,"RepSite","Manawatu","Manawatu","Middle Oroua (Mana_12b)","a","NOF.ECOLI.Med","D","2015 - 2019"
"1492","Oroua at Awahuri Bridge","ECOLI",7236108,"2","Y",1,2017,69,0,1,NA,9700,150,971.554361978926,6429.66255,18.8405797101449,37.6811594202899,19900,175,444.4,593.03,987.4,28.7216123925739,47.5703182154367,12.3301210569675,27.7024093044713,124.98531,212.62643,122,271.20869,786.74135,13177.50429,306.52745,764.34692,339.83846,795.20255,742.06006,9339.60616,19900,19900,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7037684,7236108,7236108,NA,"2",1,"Y","Oroua at Kawa Wool","63",1814385,5538597,"RepSite","Manawatu","Manawatu","Middle Oroua (Mana_12b)","a","NOF.ECOLI.p95","E","2015 - 2019"
"1493","Oroua at Awahuri Bridge","ECOLI",7236108,"2","Y",1,2017,69,0,1,NA,9700,150,971.554361978926,6429.66255,18.8405797101449,37.6811594202899,19900,175,444.4,593.03,987.4,28.7216123925739,47.5703182154367,12.3301210569675,27.7024093044713,124.98531,212.62643,122,271.20869,786.74135,13177.50429,306.52745,764.34692,339.83846,795.20255,742.06006,9339.60616,19900,19900,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7037684,7236108,7236108,NA,"2",1,"Y","Oroua at Kawa Wool","63",1814385,5538597,"RepSite","Manawatu","Manawatu","Middle Oroua (Mana_12b)","a","NOF.ECOLI.Combined","E","2015 - 2019"
"1494","Oroua at Awahuri Bridge","ECOLI",7236108,"2","Y",1,2017,69,0,1,NA,9700,150,971.554361978926,6429.66255,18.8405797101449,37.6811594202899,19900,175,444.4,593.03,987.4,28.7216123925739,47.5703182154367,12.3301210569675,27.7024093044713,124.98531,212.62643,122,271.20869,786.74135,13177.50429,306.52745,764.34692,339.83846,795.20255,742.06006,9339.60616,19900,19900,"No censored - no imputation required","Imputed",18,9,9,4,TRUE,7037684,7236108,7236108,NA,"2",1,"Y","Oroua at Kawa Wool","63",1814385,5538597,"RepSite","Manawatu","Manawatu","Middle Oroua (Mana_12b)","a","NOF.ECOLI_PC.p95","Poor","2015 - 2019"
"1495","Oroua at Bartletts Ford","ECOLI",7229483,"4","N",1,2017,70,2,0,10,NA,85.5,283.938823462679,426,4.28571428571429,14.2857142857143,9700,86,192,216,321.7,8.73487145399837,22.4945814534421,1.57437904035617,10.2481309226783,63,110,63,121.4469,299.8996,1913.61464,136.30482,283.40895,160.29849,303.27529,229.758,730.53296,9700,9700,"Imputed","No censored - no imputation required",18,9,9,4,TRUE,7033382,7229483,7229483,NA,"4",1,"N","Oroua at Almadale Slackline","Not Reported",1838856,5560892,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI.G260","A","2015 - 2019"
"1496","Oroua at Bartletts Ford","ECOLI",7229483,"4","N",1,2017,70,2,0,10,NA,85.5,283.938823462679,426,4.28571428571429,14.2857142857143,9700,86,192,216,321.7,8.73487145399837,22.4945814534421,1.57437904035617,10.2481309226783,63,110,63,121.4469,299.8996,1913.61464,136.30482,283.40895,160.29849,303.27529,229.758,730.53296,9700,9700,"Imputed","No censored - no imputation required",18,9,9,4,TRUE,7033382,7229483,7229483,NA,"4",1,"N","Oroua at Almadale Slackline","Not Reported",1838856,5560892,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI.G540","A","2015 - 2019"
"1497","Oroua at Bartletts Ford","ECOLI",7229483,"4","N",1,2017,70,2,0,10,NA,85.5,283.938823462679,426,4.28571428571429,14.2857142857143,9700,86,192,216,321.7,8.73487145399837,22.4945814534421,1.57437904035617,10.2481309226783,63,110,63,121.4469,299.8996,1913.61464,136.30482,283.40895,160.29849,303.27529,229.758,730.53296,9700,9700,"Imputed","No censored - no imputation required",18,9,9,4,TRUE,7033382,7229483,7229483,NA,"4",1,"N","Oroua at Almadale Slackline","Not Reported",1838856,5560892,"RepSite","Manawatu","Manawatu","Upper Oroua (Mana_12a)","a","NOF.ECOLI.Med","A","2015 - 2019"
